1084,"[1084, 345, 1328, 1400, 1330, 1399, 1081, 1393, 114, 407, 440, 132, 1162, 164, 408, 1014, 655, 393, 414, 928, 335, 143, 1027, 869, 1040, 423, 193, 1380, 247, 116, 288, 1113, 1063, 1135, 1034, 801, 417, 124, 1225, 192, 972, 162, 739, 404, 20, 723, 625, 996, 1094, 339]"
102,"[102, 96, 915, 1131, 1022, 461, 460, 87, 398, 538, 886, 867, 269, 525, 494, 1371, 60, 30, 545, 822, 195, 1091, 409, 861, 111, 125, 828, 177, 399, 1024, 1123, 1384, 433, 417, 1360, 397, 749, 731, 1072, 844, 685, 1089, 159, 705, 92, 413, 452, 943, 1062, 390]"
1080,"[1080, 818, 814, 815, 175, 813, 1399, 1182, 990, 1036, 1094, 459, 1032, 407, 514, 1029, 991, 937, 880, 833, 1092, 1081, 669, 19, 820, 615, 420, 1383, 908, 873, 109, 1012, 941, 464, 640, 80, 1393, 894, 926, 1225, 834, 712, 734, 334, 742, 439, 293, 943, 533, 965]"
1050,"[1050, 473, 503, 1051, 930, 834, 31, 50, 477, 903, 909, 499, 24, 28, 1097, 30, 489, 980, 939, 901, 943, 494, 38, 60, 45, 485, 69, 880, 861, 822, 937, 844, 42, 71, 1360, 460, 401, 970, 56, 90, 1131, 452, 908, 84, 873, 731, 910, 592, 1048, 803]"
1092,"[1092, 734, 334, 712, 640, 941, 1081, 420, 926, 1383, 1225, 109, 833, 1137, 1094, 459, 514, 1012, 1399, 707, 894, 880, 462, 990, 818, 423, 1080, 627, 440, 408, 681, 464, 1393, 20, 445, 873, 778, 132, 723, 143, 750, 859, 1380, 350, 852, 312, 363, 427, 1162, 728]"
1022,"[1022, 1072, 315, 915, 1089, 1131, 749, 195, 731, 685, 1384, 1360, 409, 705, 102, 390, 352, 525, 269, 1091, 96, 1371, 538, 87, 397, 398, 417, 254, 294, 822, 494, 250, 461, 1123, 460, 111, 1024, 886, 581, 545, 996, 828, 450, 452, 30, 161, 433, 198, 861, 125]"
1009,"[1009, 580, 714, 666, 617, 1014, 172, 766, 854, 668, 996, 718, 1121, 1140, 1001, 1105, 647, 761, 592, 648, 1328, 359, 213, 388, 1061, 1012, 202, 293, 975, 990, 994, 358, 389, 464, 214, 485, 563, 45, 939, 488, 943, 315, 294, 1162, 71, 345, 38, 910, 288, 574]"
1094,"[1094, 1092, 990, 407, 1399, 669, 615, 1036, 462, 717, 1032, 965, 175, 459, 937, 908, 464, 1029, 813, 935, 991, 1080, 514, 815, 814, 880, 712, 1182, 600, 640, 734, 420, 1081, 334, 423, 818, 408, 941, 873, 312, 970, 1383, 80, 859, 723, 1225, 490, 143, 881, 833]"
1019,"[1019, 660, 538, 390, 1091, 111, 435, 413, 198, 177, 426, 705, 1384, 685, 315, 749, 731, 352, 250, 581, 409, 254, 161, 452, 1123, 417, 433, 269, 996, 461, 399, 451, 655, 195, 294, 398, 844, 1034, 460, 625, 1371, 397, 938, 886, 159, 580, 1024, 758, 525, 30]"
1081,"[1081, 420, 1092, 640, 712, 734, 334, 514, 941, 1225, 926, 1383, 109, 1399, 833, 459, 1137, 1012, 1393, 880, 707, 1398, 1084, 1328, 1400, 423, 414, 1330, 408, 427, 1164, 439, 143, 331, 440, 990, 796, 1094, 750, 407, 762, 894, 818, 664, 416, 445, 162, 366, 1385, 410]"
1061,"[1061, 213, 1097, 714, 761, 388, 592, 450, 202, 580, 647, 854, 71, 38, 359, 28, 975, 30, 1105, 1009, 494, 1091, 910, 943, 617, 198, 413, 538, 1121, 563, 426, 1140, 718, 766, 254, 193, 985, 867, 269, 461, 1129, 822, 834, 1062, 485, 1008, 398, 731, 1060, 574]"
1048,"[1048, 803, 497, 535, 655, 193, 143, 272, 1063, 229, 443, 643, 56, 30, 52, 45, 1062, 494, 60, 38, 28, 440, 485, 1060, 828, 488, 503, 796, 1113, 762, 42, 758, 477, 702, 618, 277, 745, 943, 114, 445, 50, 164, 414, 206, 625, 137, 547, 132, 1164, 938]"
1040,"[1040, 1034, 111, 1384, 435, 426, 390, 1036, 177, 198, 161, 660, 538, 413, 1032, 996, 1038, 1022, 159, 288, 315, 1019, 19, 1072, 269, 125, 1163, 145, 685, 731, 1001, 1091, 749, 705, 172, 352, 1027, 409, 397, 294, 464, 461, 398, 195, 87, 1089, 1024, 265, 399, 1123]"
1064,"[1064, 30, 494, 464, 1009, 213, 388, 1140, 359, 28, 71, 161, 593, 426, 111, 38, 1061, 714, 975, 281, 854, 202, 580, 647, 60, 927, 761, 288, 592, 413, 315, 254, 294, 960, 159, 450, 250, 996, 1019, 831, 1024, 461, 19, 390, 1001, 1091, 538, 1328, 972, 409]"
109,"[109, 1383, 1137, 420, 1092, 640, 334, 734, 712, 941, 1081, 1225, 926, 514, 833, 1399, 1012, 1385, 459, 132, 1162, 1380, 707, 137, 143, 1164, 990, 112, 1143, 130, 162, 880, 116, 1389, 168, 627, 148, 160, 153, 750, 723, 894, 331, 570, 408, 287, 423, 462, 1387, 111]"
1051,"[1051, 503, 1050, 473, 31, 50, 24, 477, 834, 930, 903, 909, 980, 901, 1097, 401, 84, 943, 861, 705, 685, 499, 69, 822, 489, 749, 880, 731, 939, 1360, 460, 1131, 844, 452, 90, 30, 494, 970, 1368, 580, 873, 881, 563, 1123, 908, 450, 28, 38, 60, 200]"
1091,"[1091, 538, 198, 660, 1019, 1384, 111, 254, 250, 390, 426, 269, 177, 413, 1097, 161, 1123, 30, 461, 435, 494, 195, 1360, 60, 315, 525, 996, 886, 867, 1061, 915, 1022, 1131, 451, 844, 910, 409, 749, 705, 499, 31, 980, 489, 1024, 159, 731, 581, 685, 430, 50]"
1070,"[1070, 416, 244, 160, 410, 1028, 257, 265, 13, 168, 42, 249, 56, 1085, 134, 234, 92, 1164, 190, 143, 287, 233, 534, 148, 533, 547, 334, 712, 526, 427, 640, 750, 331, 109, 1383, 1095, 664, 389, 270, 1398, 723, 1081, 1092, 570, 401, 423, 734, 440, 290, 358]"
1036,"[1036, 1032, 1029, 990, 407, 1399, 813, 814, 175, 1094, 815, 1038, 1040, 1034, 937, 490, 615, 1080, 80, 818, 935, 965, 908, 459, 669, 991, 717, 514, 1225, 1182, 1027, 929, 233, 941, 423, 640, 74, 1012, 712, 734, 79, 1028, 334, 970, 1393, 894, 880, 1330, 172, 265]"
1024,"[1024, 161, 177, 1384, 145, 426, 390, 315, 159, 1019, 538, 1123, 409, 1022, 111, 731, 269, 461, 398, 1371, 125, 1072, 749, 433, 660, 399, 705, 294, 288, 19, 397, 996, 1131, 435, 102, 1091, 896, 413, 1001, 685, 1009, 1163, 889, 464, 886, 60, 137, 867, 417, 198]"
